"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",159.022013024595,-0.441998235893023,0.17527923846234,0.00884368543423547,0.0251791841427696
"YAL002W",73.7833830749905,-1.14976904486343,0.217055859318488,1.46437524677031e-08,1.82440844502548e-07
"YAL003W",326.243957946807,0.199907225613635,0.175791416177229,0.23780297094457,0.361146644447862
"YAL005C",3106.7624354412,0.237397954927,0.151889929889179,0.108082397793512,0.196510242674525
"YAL007C",67.4041476649369,1.68505784722118,0.258758154059339,3.09015479136252e-13,7.85802375940542e-12
"YAL008W",60.4921904801231,-0.458887379290346,0.223806656909286,0.0290871574411022,0.0683198565118086
"YAL009W",28.162431469543,-0.145601704875916,0.27625936262566,0.561498898240816,0.683643936227177
"YAL010C",20.0953763222784,0.386580357992831,0.328776158391807,0.17524026020078,0.288305172543026
"YAL011W",57.1406213539023,-0.0523860872716758,0.381643919677361,0.86684047916346,0.915500593298181
"YAL012W",94.3132723110636,2.52589676147599,0.293613662830563,9.03353261691327e-21,5.13344317791735e-19
"YAL013W",41.6254716852572,0.239171336175805,0.299412861062581,0.369942074068669,0.503964630745699
"YAL014C",22.895255766568,0.215011343482684,0.331661830790507,0.453638217319405,0.582770757151504
"YAL015C",24.955715601485,0.368073460513203,0.335294821086716,0.20280093693719,0.320760698041241
"YAL016W",278.958624999899,-0.1104488721877,0.199504870100776,0.56114400671055,0.683361244996951
"YAL017W",391.080870842824,-0.812280237481012,0.17286397958731,1.05203878808082e-06,9.22646300916864e-06
"YAL019W",110.526663983196,0.0810365271942168,0.209850559587319,0.68359976611445,0.780775993094189
"YAL020C",17.8471129389935,-0.248553264112553,0.394471167883062,0.43428208748831,0.564942056814389
"YAL021C",87.4420275706611,-0.309006177850985,0.30413332151071,0.252157770189186,0.378304585717559
"YAL022C",37.2840321909365,-0.232880199018972,0.310698507742564,0.395561184038964,0.528015396431686
"YAL023C",171.718855995967,0.830265814768631,0.211279686566385,3.13350998961413e-05,0.000187438422472192
"YAL024C",45.4443903914673,0.261453086467364,0.272542575821489,0.291879780884087,0.423522277160886
"YAL025C",36.9607695427202,0.928554355818383,0.331387065594056,0.00113514760453379,0.00437180982686631
"YAL026C",93.6528039352818,-0.222806209808457,0.240796762998095,0.31995995230538,0.452707564631265
"YAL027W",24.7378241925794,-0.359281912860922,0.304433014444855,0.183318834784217,0.298509529506814
"YAL028W",20.7422216628727,-0.705034348006241,0.381482457449779,0.0241887339023968,0.0581385667252688
"YAL029C",194.805495551928,-0.0760333929829052,0.196800955770082,0.685476707287056,0.782258152229839
"YAL030W",86.5753927185015,-0.187421395974973,0.207870362271441,0.341791923300294,0.476455374432876
"YAL031C",88.0386218716774,-0.755501566860752,0.230490469453647,0.000448953325894178,0.00194267371554365
"YAL032C",38.4539813254869,-0.0963244871726987,0.248892680632167,0.67585597223585,0.7760352094193
"YAL033W",18.0567992633754,0.292945202788829,0.323864319812138,0.299366625876698,0.431016737204584
"YAL034C",207.556860085233,-0.576846931432944,0.238619757403606,0.00938457112093716,0.0264219800669864
"YAL034W-A",11.1207790447363,0.217008118661948,0.367789505692906,0.478460864884083,0.606406134851947
"YAL035W",396.16402301649,0.515664573485639,0.269941300802211,0.0360379656612855,0.081583508442154
"YAL036C",34.0794700195402,0.62909008403907,0.266629102260728,0.00973572031198006,0.0272217362725344
"YAL037W",13.4840481841077,-1.21526415726878,0.454401154998323,0.000396323902135558,0.0017433868965189
"YAL038W",2237.195176419,-1.21859772012823,0.176396580663324,4.75638062679242e-13,1.19122007926735e-11
"YAL039C",72.3709625080245,-0.110529931842198,0.22328358155945,0.598620491348006,0.715236540724532
"YAL040C",47.576725579902,-0.326140915840484,0.272951139332552,0.189054435074155,0.304995408148311
"YAL041W",57.3465816179021,-0.398290096139924,0.242719321796876,0.0772994505305853,0.15004553503131
"YAL042W",69.2827666794442,-0.352132298282613,0.236373037583301,0.110232074824848,0.199831518456894
"YAL043C",30.5808572303071,0.165704210968325,0.324849687093248,0.558046805274639,0.680274816295843
"YAL044C",128.857181452525,0.362617361144734,0.193078558879811,0.0493299761495399,0.104894477730732
"YAL044W-A",47.4107199000751,0.000420824328205835,0.281619378090491,0.998681177260222,0.999542232408576
"YAL046C",27.2329897699837,1.04563693637719,0.342540049311771,0.000326340262992498,0.00147635168530075
"YAL047C",20.9677298002415,-0.118518921139244,0.364000842602342,0.696922031634483,0.791265809209467
"YAL048C",31.4794079589466,-0.637929122882993,0.295023068615846,0.0154349642399489,0.0401107400150608
"YAL049C",241.147208546459,0.330595750466203,0.181793239542128,0.0583385863981908,0.119928972924151
"YAL051W",106.797198886924,-0.702289072891455,0.200557178273008,0.000229506696034407,0.00109054845581537
"YAL053W",171.961566367308,-0.139147727137945,0.24127756007891,0.535248599785079,0.659323037426035
"YAL054C",111.942818451288,0.0486668803745097,0.251818046111955,0.83428946848073,0.89130781739893
"YAL055W",39.5917636116851,0.400839655215269,0.375920922718073,0.196161088830504,0.313283941410116
"YAL056W",219.76444491725,-0.765598556650432,0.22590047835582,0.000295850212958304,0.00136277074935053
"YAL058W",21.2362467753555,-0.141069357272988,0.374633560709868,0.648367399046542,0.756813675390944
"YAL059W",26.2228282355966,0.16654316608012,0.312619709327292,0.545280988208917,0.668575478497458
"YAL060W",300.22235568915,-2.2125572487835,0.267770444859539,7.49067843342917e-20,4.01111424959299e-18
"YAL061W",164.442985334597,-1.66261792663636,0.20417159585569,1.80202988449218e-18,8.7265255884669e-17
"YAL062W",69.5846986887045,0.810271634653938,0.265496008137145,0.000814425761074699,0.00326767799958573
"YAL063C",34.5947448128806,-0.510797510397012,0.277245159056412,0.0420481594646557,0.0925924080896274
"YAL067C",59.6415579515564,1.26499576466786,0.251364707482891,3.20990920007341e-08,3.73193827457387e-07
"YAR002C-A",109.442535643459,1.44056400244433,0.22508363691956,3.73638901239672e-12,8.224486328078e-11
"YAR002W",54.5109426316007,-0.0117546944504926,0.249525500705022,0.959392866609902,0.974974247107763
"YAR003W",45.5068487102688,0.136036769451123,0.258697031768438,0.567362089179205,0.688680200390346
"YAR007C",94.1276559848089,0.368800104238639,0.241567429177605,0.100543466842592,0.185652044710343
"YAR008W",28.3873088657783,0.236502111265941,0.289664800129862,0.363327038970468,0.498489352063695
"YAR014C",68.3401378653341,-0.0823375878363448,0.219359407719524,0.690456693319375,0.785725993943533
"YAR015W",114.750191294694,0.8369990709797,0.202126861738744,1.26750764020037e-05,8.4942840532802e-05
"YAR018C",11.6300711144695,0.610456224065224,0.376390400260699,0.0492389827298822,0.104759108023338
"YAR019C",38.4045013490946,-0.669352052837643,0.253525392121396,0.00414326255381716,0.0132990369810996
"YAR023C",9.74307127209998,-0.40707439385666,0.398740197564614,0.203135406142561,0.321107316720954
"YAR027W",23.9932863985978,5.40627769924176,0.909588053759097,2.12320627535547e-11,4.14881956051039e-10
"YAR035W",8.81492804735195,1.21772456322959,0.697209091180948,0.00263706437379901,0.00899865900593546
"YAR042W",112.702511528049,-0.925095289796297,0.21947291820896,7.01768180857895e-06,5.06824185058983e-05
"YAR050W",45.4503548151406,-0.384461751812026,0.279718650442198,0.128814970071811,0.225375610534062
"YAR068W",20.9071837594647,0.478640272659577,0.313768895206979,0.0827864513976516,0.158377790392828
"YBL001C",236.276475400086,0.348255885872149,0.208207937791083,0.0776875159369801,0.150536456594656
"YBL002W",334.611841842343,0.553965136289997,0.21810391852742,0.00702756109363877,0.020587316007614
"YBL003C",482.22321895331,0.273450266137268,0.14665193992462,0.0556988535609396,0.115439864339737
"YBL004W",267.633705846689,-0.454428928089074,0.199652363766783,0.0168162459158577,0.0431088307168893
"YBL005W",58.092256013514,-0.444998037737632,0.228454693068486,0.0376356001004561,0.0846496999028433
"YBL006C",78.1945333471404,0.446286438454446,0.20759236106423,0.023365805419406,0.0563543300034028
"YBL007C",290.296848186879,-0.696475794651527,0.183550321077515,7.54862713792445e-05,0.000414578940148927
"YBL008W",52.0673547352558,0.00168464419740176,0.248044257063286,0.994148836293687,0.996784670350671
"YBL009W",20.489680308347,0.227075080307104,0.352808191769188,0.44705046636655,0.576568792773348
"YBL010C",21.9524285271249,0.0996533087974097,0.310918693780643,0.716356991212423,0.805449643460929
"YBL011W",114.377941411439,-0.45471043734757,0.267858744599094,0.0629292577084778,0.127716121056309
"YBL014C",56.9853939543899,-0.584033968493559,0.236987197602971,0.00815492956231206,0.0233855832814191
"YBL015W",365.714609720547,1.43204929855561,0.213163146969901,4.77001396438534e-13,1.19122007926735e-11
"YBL016W",26.446667887783,0.357615031752763,0.289999578135823,0.169547074815845,0.280899563058244
"YBL017C",423.954137345557,-0.175908001673621,0.190510421009798,0.334540822341999,0.469165912773253
"YBL018C",32.4672741827306,0.335627346401396,0.300550282970949,0.209547262597974,0.328353603097388
"YBL019W",49.1870672057041,-0.963974654417367,0.249946953047974,2.71808132470886e-05,0.000165794029543304
"YBL020W",121.17318013877,0.254177300907021,0.203952646793185,0.18972992255082,0.305731939680842
"YBL021C",45.1608303936091,1.08022294744244,0.258915275322695,4.61760261944108e-06,3.5034644397367e-05
"YBL022C",389.518176541079,-0.443134497093085,0.162262279212933,0.00480551698696945,0.0149842800114406
"YBL023C",39.5660911581619,0.247904804397775,0.288090500280896,0.338628185754031,0.473467327759025
"YBL024W",81.4656952478959,0.514472542923789,0.216366718815001,0.0117175222038794,0.031909477336628
