"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL001C",159.022013024595,-0.899361224024161,0.191014571649994,22.7263289997546,1.16155655697765e-05,3.62595766020657e-05
"YAL002W",73.7833830749905,-1.25854801471182,0.233944224564172,45.0162174399083,1.6782342684093e-10,1.0477675606246e-09
"YAL003W",326.243957946807,-0.87872475598743,0.19035573502182,34.8726923817941,2.67603053544646e-08,1.26295034338147e-07
"YAL005C",3106.7624354412,1.33384475783171,0.155750209927557,87.6193135123599,9.41256128098644e-20,1.58844102344889e-18
"YAL007C",67.4041476649369,0.945307267534199,0.268854006327334,55.1754000679757,1.04427313827328e-12,8.42834363339698e-12
"YAL008W",60.4921904801231,-0.640770532111459,0.248910850058713,8.0778257614147,0.0176166133697534,0.0280947651363565
"YAL009W",28.162431469543,-1.37742062581144,0.365132572543643,16.3683153930748,0.000279039363986597,0.00067358917123596
"YAL010C",20.0953763222784,-0.565518771184839,0.429550173623605,7.07428758822802,0.0290963135746191,0.0441231769636558
"YAL011W",57.1406213539023,1.26196959244141,0.457340190927873,11.5503175586785,0.00310370481532389,0.00591936031388314
"YAL012W",94.3132723110636,2.8220436430481,0.284122506798321,113.587965393547,2.16115894859042e-25,5.59790427195352e-24
"YAL013W",41.6254716852572,0.77276421317741,0.338318046706606,5.41057424393495,0.0668511266637438,0.0926565267273243
"YAL014C",22.895255766568,-0.155529049562765,0.407208352153852,1.29135315223596,0.524307688017043,0.567847046784697
"YAL015C",24.955715601485,0.509770803057192,0.396896101624056,2.15017676189476,0.341267592414974,0.390731747976766
"YAL016W",278.958624999899,-0.661061885798606,0.21425060187838,10.2922344737554,0.00582196621375713,0.0104286040027062
"YAL017W",391.080870842824,-0.946717045920298,0.180489810038553,36.4010650627812,1.24626142849874e-08,6.1637920917491e-08
"YAL019W",110.526663983196,-0.705277362547441,0.235725859180869,13.0229224598758,0.00148630630024812,0.00303975019687175
"YAL020C",17.8471129389935,-2.05386957867899,0.593444780073164,12.9634518116909,0.00153116574961354,0.00312232224811345
"YAL021C",87.4420275706611,-1.84477151691582,0.366819105676083,25.396713036668,3.05614414980385e-06,1.04607663000969e-05
"YAL022C",37.2840321909365,-1.07487365780759,0.383060879142806,8.05997752094171,0.0177745297298816,0.0283303823885835
"YAL023C",171.718855995967,0.249726284309215,0.227241447743019,19.1357147100002,6.99410820731174e-05,0.000189908281845534
"YAL024C",45.4443903914673,-0.442070095681658,0.322406706312449,5.74710644328412,0.0564978202261529,0.0796749457684086
"YAL025C",36.9607695427202,-0.0508905784154781,0.393383115082391,15.6799456846973,0.000393679731926803,0.000915790487510595
"YAL026C",93.6528039352818,-1.31785245218715,0.279255329022191,23.4707817995107,8.00542677201664e-06,2.56810032795856e-05
"YAL027W",24.7378241925794,-0.270151125266829,0.350912990223956,1.82326837998394,0.401866960168482,0.450239893603231
"YAL028W",20.7422216628727,0.721374578763253,0.405003817499532,15.599046896573,0.000409930285419208,0.000948442775030979
"YAL029C",194.805495551928,-0.858150952080979,0.215431212172015,18.1315975628292,0.000115550975226389,0.000300562064939636
"YAL030W",86.5753927185015,-0.132323617178877,0.223953169717409,0.932050773270447,0.627491353951027,0.666253450934847
"YAL031C",88.0386218716774,-1.34863447586053,0.258690483130385,29.9773445341177,3.09387200927747e-07,1.25216375142923e-06
"YAL032C",38.4539813254869,-1.16431943118414,0.311771703177087,16.0427997970684,0.000328360030192711,0.000780468206633892
"YAL033W",18.0567992633754,-0.72915124105681,0.430952458290738,7.23781521978024,0.0268119496094755,0.0408748281892059
"YAL034C",207.556860085233,0.925840637697597,0.248133752807756,40.6543476937058,1.48600600909587e-09,8.20175169936066e-09
"YAL034W-A",11.1207790447363,-0.232955946204045,0.490893492561507,1.40688572317014,0.494878569036905,0.539014033046455
"YAL035W",396.16402301649,0.842453462441578,0.294288439493429,8.39262411831959,0.0150509817228611,0.0245227961423679
"YAL036C",34.0794700195402,-0.526502577653373,0.334806179586824,17.2057802160384,0.000183574476189204,0.000460092825336487
"YAL037W",13.4840481841077,-2.40437421680625,0.573795597804508,24.7055458258812,4.31776386769316e-06,1.44591863975846e-05
"YAL038W",2237.195176419,-2.75717317424238,0.18194170972445,214.177583434894,3.10404982255581e-47,2.50528311040773e-45
"YAL039C",72.3709625080245,0.117745185318064,0.244105551580579,0.997766020460006,0.607208526769527,0.646745410176371
"YAL040C",47.576725579902,-2.07128411172344,0.358028499800301,36.1436212149254,1.41746510139521e-08,6.94882319513198e-08
"YAL041W",57.3465816179021,-1.36321346676654,0.290396056247867,22.5879106444715,1.24479410998442e-05,3.87277005502974e-05
"YAL042W",69.2827666794442,-0.75584285320132,0.268549680510377,8.12700427190376,0.0171887163612236,0.0275297393466833
"YAL043C",30.5808572303071,-0.622833190053821,0.402853916169087,4.5975087809974,0.100383804901393,0.132945876217802
"YAL044C",128.857181452525,1.0471500091126,0.20081739996058,28.3961228178127,6.82119203690405e-07,2.63018655673118e-06
"YAL044W-A",47.4107199000751,0.244861462311099,0.315884744606158,0.7998457495286,0.670371746620868,0.703865055982582
"YAL046C",27.2329897699837,0.426807591446552,0.402759190653751,14.1750231531569,0.000835473793575263,0.00181181992072455
"YAL047C",20.9677298002415,0.0839676458492058,0.441012700525055,0.351896622663332,0.838661331504168,0.856816172288885
"YAL048C",31.4794079589466,-1.65594717218441,0.371460090544501,21.1874891827447,2.5072358055243e-05,7.41125063745479e-05
"YAL049C",241.147208546459,0.0155306235462463,0.193052320515607,4.63310949840429,0.0986127466655514,0.130818100567045
"YAL051W",106.797198886924,-0.749361056538309,0.215553214674868,18.1386783018501,0.000115142605393399,0.000299639798801793
"YAL053W",171.961566367308,-1.15325101894584,0.269911622489108,19.6828483977105,5.32014876397062e-05,0.00014740252968434
"YAL054C",111.942818451288,0.253478583295284,0.274456157081244,0.953530547773923,0.620788227400831,0.659765198167028
"YAL055W",39.5917636116851,0.931143869442116,0.451000463430608,4.24448209226721,0.119762933286124,0.154926777112759
"YAL056W",219.76444491725,-1.83348320187933,0.248888241922617,53.837484336742,2.03863190394287e-12,1.60809363641046e-11
"YAL058W",21.2362467753555,-1.4847847332485,0.514331240488621,9.12357234267008,0.0104433885928229,0.0176614731471093
"YAL059W",26.2228282355966,-0.780381763419227,0.397402612997594,6.73112026907256,0.0345426621600491,0.051352932613271
"YAL060W",300.22235568915,-0.398923837202409,0.245628811684295,80.4789638090741,3.34360567915253e-18,4.823974100311e-17
"YAL061W",164.442985334597,-1.1467641540979,0.200473701251798,83.517954863449,7.31655314441036e-19,1.13183012392281e-17
"YAL062W",69.5846986887045,0.646635399263509,0.294777229374797,11.2835551248338,0.00354655857059501,0.00665681991224927
"YAL063C",34.5947448128806,-0.116761555295316,0.301985696717808,4.4721580331641,0.106876745832685,0.140490453966308
"YAL067C",59.6415579515564,0.390053509410284,0.279894392468641,35.0499570524891,2.4490549555344e-08,1.15976080334788e-07
"YAR002C-A",109.442535643459,0.198054934299506,0.243428847197074,61.6531071522258,4.09447181386867e-14,3.78772650023831e-13
"YAR002W",54.5109426316007,-0.686956552131947,0.290730150590719,6.87009960684128,0.0322238053362207,0.048331368682309
"YAR003W",45.5068487102688,-2.06507439400346,0.361975877043371,45.3858536875504,1.39504139150831e-10,8.78844514627801e-10
"YAR007C",94.1276559848089,-0.18189665323383,0.269936406695565,5.64519266642516,0.0594513865466868,0.0835228990107213
"YAR008W",28.3873088657783,-1.16871764627722,0.384296222744397,16.1373252679863,0.000313201866631981,0.000748271641043974
"YAR014C",68.3401378653341,-1.80524939922261,0.280702588424085,49.2793516838485,1.99124521855281e-11,1.38615557776507e-10
"YAR015W",114.750191294694,-0.93613139245637,0.238590447968429,66.6117361057985,3.43119412507317e-15,3.55834638408426e-14
"YAR018C",11.6300711144695,-0.554933852969511,0.539178655457859,9.01206087839625,0.0110422060006141,0.0185782613949908
"YAR019C",38.4045013490946,-0.799064394263435,0.286376604317378,11.4879359205677,0.00320203747682362,0.00607983181330745
"YAR023C",9.74307127209998,-0.667901397917273,0.522283565799581,2.31252884378093,0.314659423002003,0.363404879033213
"YAR027W",23.9932863985978,4.25937803885918,0.902271060260816,115.124948667233,1.00215531058431e-25,2.64502508276967e-24
"YAR035W",8.81492804735195,1.32794238939442,0.823285365292296,9.31481034230752,0.00949105814849823,0.0162034649996893
"YAR042W",112.702511528049,-1.01360335011575,0.235045902496996,27.8939127594596,8.76826778777775e-07,3.31954339293911e-06
"YAR050W",45.4503548151406,-0.0934941648774905,0.309062578958702,2.50281464318392,0.28610187605944,0.334806976531855
"YAR068W",20.9071837594647,-2.03582457754819,0.516669770759106,32.5732611558038,8.44901753067715e-08,3.74324412317749e-07
"YBL001C",236.276475400086,1.81757364839237,0.214821993240641,85.5093664907359,2.70319260703101e-19,4.38866441672142e-18
"YBL002W",334.611841842343,0.162938798295886,0.233184909681299,7.9945331437534,0.0183657718573875,0.0291642382303367
"YBL003C",482.22321895331,1.01522055580861,0.149636914726905,50.6016840924971,1.02797821655408e-11,7.35836849355999e-11
"YBL004W",267.633705846689,-1.16812430719849,0.215865427222217,28.935527720121,5.20870774232912e-07,2.03989405183058e-06
"YBL005W",58.092256013514,-0.463934053692705,0.25205114066071,5.38707589138236,0.0676412046291122,0.0936350655181521
"YBL006C",78.1945333471404,0.278090131493711,0.22867825673736,5.14690826532843,0.0762716375452921,0.104260370517853
"YBL007C",290.296848186879,0.303350246791545,0.186943710350022,30.9398068398991,1.91208110183768e-07,7.92880093531948e-07
"YBL008W",52.0673547352558,-0.731332031241502,0.291726854237721,7.93982148966812,0.0188751177617375,0.0298708527465519
"YBL009W",20.489680308347,1.10186592331681,0.407147687532082,8.13043867470186,0.0171592252018172,0.0274912903190218
"YBL010C",21.9524285271249,-0.462946772545733,0.38700503176115,2.55881509382611,0.27820207331541,0.327203241033478
"YBL011W",114.377941411439,0.769421564433391,0.284453887680474,21.0454995821622,2.69170729350555e-05,7.90468262394151e-05
"YBL014C",56.9853939543899,-1.15526421002879,0.27369294706263,19.1857690025098,6.82123788681456e-05,0.00018548571187339
"YBL015W",365.714609720547,2.47872704613089,0.212624875711273,127.778944772265,1.79124376205501e-28,5.83358860285634e-27
"YBL016W",26.446667887783,0.520065372814898,0.334273373999504,2.87829937778204,0.237129306664455,0.284790405178855
"YBL017C",423.954137345557,-0.49324375167905,0.201480919407076,6.00275100499874,0.0497186332080442,0.071072749898815
"YBL018C",32.4672741827306,0.111044719174562,0.354132380542221,1.74469314031229,0.417969602599235,0.466560977525584
"YBL019W",49.1870672057041,-1.61576689174886,0.291990487890391,37.0093788619211,9.19423269022947e-09,4.65478925926254e-08
"YBL020W",121.17318013877,-0.537773267361296,0.227723065745245,13.2563469051324,0.00132257663007281,0.00273401234330939
"YBL021C",45.1608303936091,0.63544391261139,0.290752287908146,21.4963957844584,2.14840900974652e-05,6.42561212420964e-05
"YBL022C",389.518176541079,0.609095454056139,0.164510583843409,42.6743895050069,5.41220277589806e-10,3.16935407560214e-09
"YBL023C",39.5660911581619,-0.563712194842825,0.347590402621406,6.40690798817995,0.0406216544351069,0.0593291354705247
"YBL024W",81.4656952478959,0.530623214068683,0.234290926031227,7.52816265757126,0.0231889054329977,0.0359518414132416
"YBL025W",14.612667072775,-0.811918187315138,0.533946963435942,4.80271541530031,0.0905948684057769,0.121367048869803
"YBL026W",45.2929783593856,0.897425668636785,0.364623674653355,6.1798148981425,0.0455061658476452,0.0656368395766735
"YBL027W",624.239088446428,-0.417892778775969,0.155443095815103,53.3407390488058,2.61339878725911e-12,2.02139136753417e-11
"YBL028C",72.3476374703788,1.77101678342201,0.328993621028213,28.5389449760687,6.35106911261297e-07,2.46818589589265e-06
"YBL029C-A",118.124624691958,0.54279189199984,0.275845926907077,14.3319089951593,0.000772441332098742,0.00168365001113812
"YBL029W",356.873384697928,-0.500420448905734,0.302419234334831,13.587615555687,0.00112069328821817,0.00236406853109356
"YBL030C",485.514332199409,1.26654119968803,0.156867664475153,77.4831839110325,1.49534152472094e-17,1.9827516550407e-16
"YBL031W",7.42634274761829,1.51956847660333,0.649763836663813,6.38996289041431,0.0409672855085269,0.0597555822412222
"YBL032W",44.078196480251,0.826515731731924,0.294653079081341,12.5090078068497,0.00192177910764207,0.00384839548739974
"YBL033C",194.03466446758,0.864517953774836,0.214833785314447,16.3656692841585,0.000279408792594319,0.000674188720085685
"YBL034C",90.601229692651,-0.433539097318597,0.237349843739421,3.36269866211161,0.186122665434278,0.229673637004984
"YBL035C",29.7812041009767,0.230937432010829,0.321237026347041,0.526787881913513,0.768439118035129,0.794106039773174
"YBL036C",105.812972999332,-0.486943579132779,0.236133519176896,8.24481493303104,0.0162054533553652,0.0261740631485002
"YBL037W",34.8020919625729,-0.660795497114141,0.319812007262594,4.49040948069467,0.105905854952153,0.139331374020444
"YBL038W",152.557400406235,1.66141223581738,0.255058043151569,41.4016728392645,1.02268284791477e-09,5.78792762198918e-09
"YBL039C",45.4352205201415,-0.81741971709807,0.385553054944772,10.2156662067428,0.00604917667261365,0.0107766682308974
"YBL039W-B",37.3682106716098,1.83428777096267,0.333824710275811,43.1304735639783,4.3086048367902e-10,2.56363922575595e-09
"YBL040C",88.6017810416226,0.786945416652915,0.226822520556817,27.602560392067,1.01433209552693e-06,3.78860861166295e-06
"YBL041W",446.679488094858,1.44286957672419,0.171923092447966,73.385431857908,1.16026167195511e-16,1.41389436567134e-15
"YBL042C",73.8672689163898,-1.03369125784603,0.268676705424067,15.0642238102321,0.000535605912537754,0.00120907552773521
"YBL043W",117.055586811023,1.19392452707775,0.277998151851161,33.0752556438534,6.57354277305664e-08,2.96181712808676e-07
"YBL045C",956.538330360133,0.803747834017097,0.125493398999233,40.6885786633386,1.46078871451419e-09,8.07583116391207e-09
"YBL046W",39.5272004300247,-0.645895682845985,0.284295945911741,12.8349155704474,0.00163280189608181,0.00331138884168958
"YBL047C",378.471124907643,0.128900032145993,0.167953184670061,22.9058272251111,1.061849131947e-05,3.34849253443536e-05
"YBL048W",184.513542639165,-1.47049146905942,0.246500290705225,116.58838231273,4.8211922945145e-26,1.31613822981134e-24
"YBL049W",263.432979035453,-2.82838070119651,0.208033504744834,271.65532117758,1.02517148174273e-59,1.42729499545632e-57
"YBL050W",210.569535899787,-0.236730585175832,0.180269870825751,1.840622909253,0.398394939812381,0.44686030610577
"YBL051C",239.079605232752,-0.260916799171709,0.222823563981208,12.3525560822153,0.00207814826060907,0.0041248256412245
"YBL052C",73.6277336181931,0.504001951330009,0.402704141956469,3.91579327258623,0.141155009218604,0.179268471228827
"YBL054W",29.1388648123035,-1.30137172093417,0.357922384170126,13.7229155803819,0.00104738595019518,0.00222629479260952
"YBL055C",41.254286094028,-1.23133243955167,0.323105022108371,14.8518064551514,0.000595622650847795,0.00133374448836806
"YBL056W",176.844165884985,-0.911104847487691,0.236946005675024,14.8166960518296,0.000606171247055427,0.0013540985458691
"YBL057C",41.4198770020116,0.445077388483544,0.299334077951973,6.27264068071345,0.0434423572486635,0.0630684274029736
